"","Af1","Af2","Am1","Am2","Am3","As1","As2","As3","As4","As5","Au","De","Eu1","Eu2","Eu3","Eu4","Eu5","Eu6","Eu7","Hi","It","Ja","Ko","Ru"
"X2.28.20",0,6,0,0,0,34,0,0,2791,1,0,0,0,2,0,0,0,0,0,0,21,4,13,0
"X2.29.20",0,6,1,0,0,43,0,0,2838,1,0,0,0,2,0,0,0,0,0,0,29,5,16,0
"X3.1.20",0,6,1,0,0,54,0,0,2873,2,1,0,0,2,0,0,0,0,0,0,34,6,17,0
"X3.2.20",0,6,6,0,0,66,0,0,2915,2,1,0,0,3,0,0,0,0,0,0,52,6,28,0
"X3.3.20",0,6,7,0,0,77,0,0,2948,2,1,0,1,4,0,0,0,0,0,0,80,6,28,0
"X3.4.20",0,6,11,0,0,94,0,0,2984,2,2,0,2,4,0,0,0,0,0,0,108,6,35,0
"X3.5.20",0,6,12,0,0,109,0,0,3016,2,2,1,3,6,1,0,0,0,0,0,149,6,35,0
"X3.6.20",0,6,14,0,0,127,0,0,3045,2,2,1,5,10,2,0,0,0,0,0,198,6,42,0
"X3.7.20",0,6,17,0,0,149,0,0,3073,2,2,1,10,12,2,0,0,0,0,0,234,6,44,0
"X3.8.20",1,6,21,0,1,200,0,0,3101,2,3,2,17,22,3,0,0,0,0,0,367,6,50,0
"X3.9.20",1,6,23,0,1,243,0,0,3124,2,3,4,28,22,4,0,0,0,0,0,464,10,53,0
"X3.10.20",2,6,29,0,1,299,0,0,3140,2,3,5,35,37,6,0,0,0,0,0,633,10,54,0
"X3.11.20",2,7,37,0,2,364,0,0,3162,3,3,7,54,56,9,1,0,3,0,1,829,15,60,0
"X3.12.20",3,7,41,0,3,440,0,0,3173,4,3,8,55,56,9,1,1,3,0,1,830,16,66,0
"X3.13.20",5,8,48,0,4,527,0,0,3181,10,3,19,133,92,9,1,2,3,1,2,1271,19,66,0
"X3.14.20",6,8,55,0,6,625,0,0,3194,14,3,23,195,108,23,6,4,6,1,2,1446,22,72,0
"X3.15.20",7,8,64,0,6,738,0,0,3204,17,3,26,289,116,23,13,5,7,1,2,1814,22,75,0
"X3.16.20",7,8,89,1,6,868,0,0,3218,18,3,34,342,179,58,12,6,7,1,2,2165,27,75,0
"X3.17.20",10,8,113,2,7,1005,0,0,3231,20,5,54,534,203,58,15,7,8,2,3,2510,29,81,0
"X3.18.20",15,9,126,3,9,1153,0,1,3242,41,6,60,625,223,74,21,8,9,3,3,2989,29,84,0
"X3.19.20",18,9,210,6,14,1306,0,3,3250,45,6,91,833,346,141,25,8,12,3,4,3416,29,91,1
"X3.20.20",23,10,257,6,24,1462,3,4,3255,54,7,127,1049,599,181,32,10,13,4,5,4046,33,94,1
"X3.21.20",29,15,328,7,34,1591,0,5,3261,64,7,167,1387,775,237,42,11,21,5,4,4845,35,102,1
"X3.22.20",38,18,440,8,56,1747,0,7,3276,86,7,208,1786,940,286,43,16,28,5,7,5496,41,111,1
"X3.23.20",43,22,585,8,74,1884,0,9,3276,99,7,264,2334,1173,342,61,19,39,5,10,6097,42,111,1
"X3.24.20",48,26,736,11,100,2023,0,11,3283,112,8,307,2841,1510,430,83,26,49,6,10,6841,43,120,1
"X3.25.20",53,30,977,15,124,2191,0,13,3287,122,8,389,3690,1877,475,115,35,59,11,12,7524,45,126,3
"X3.26.20",67,35,1253,17,152,2379,1,14,3293,152,13,507,4425,2365,599,139,41,70,11,20,8236,47,131,3
"X3.27.20",86,40,1643,28,179,2553,2,16,3298,174,13,631,5214,2851,783,185,44,78,13,20,9155,49,139,4
"X3.28.20",99,46,2099,37,228,2713,3,18,3301,206,14,765,6082,3331,1057,204,49,112,19,24,10045,52,144,4
"X3.29.20",106,57,2547,50,276,2874,3,20,3306,231,17,919,6922,3842,1277,220,62,132,22,27,10801,54,152,8
"X3.30.20",119,65,3078,58,325,3041,3,28,3313,250,18,1112,7856,4439,1465,270,80,168,25,32,11616,54,158,9
"X3.31.20",138,73,4002,70,409,3244,4,33,3314,282,19,1336,8624,5313,1864,328,95,201,34,35,12454,56,162,17
"X4.1.20",163,85,4895,82,484,3465,5,36,3321,315,21,1554,9574,6461,2442,406,118,228,40,58,13181,57,165,24
"X4.2.20",205,96,6102,90,633,3694,5,44,3327,348,25,1801,10557,7796,3024,504,140,262,52,72,13945,62,169,30
"X4.3.20",240,105,7316,99,722,3908,9,50,3331,396,29,2034,11444,9201,3731,580,171,306,61,72,14711,63,174,34
"X4.4.20",281,116,8685,104,869,4157,8,54,3335,420,31,2297,12213,10562,4457,625,193,348,74,86,15394,77,177,43
"X4.5.20",325,133,9957,129,945,4399,9,61,3338,442,36,2504,12936,11366,5101,683,224,374,89,99,15919,77,183,45
"X4.6.20",363,138,11216,139,1074,4633,12,70,3340,468,41,2796,13652,12495,5559,773,255,427,105,136,16555,85,186,47
"X4.7.20",403,144,13294,156,1235,4863,12,80,3340,496,46,3081,14390,14553,6381,923,302,467,118,150,17161,92,192,58
"X4.8.20",428,160,15243,172,1457,5084,14,88,3342,527,51,3518,15173,15452,7346,1052,358,503,133,178,17703,93,200,63
"X4.9.20",478,163,17221,189,1675,5321,15,93,3344,592,52,3851,15858,17232,8256,1186,397,540,145,226,18313,94,204,76
"X4.10.20",527,181,19337,199,1872,5561,18,100,3346,641,56,4089,16518,18835,9261,1285,424,579,166,246,18883,99,208,94
"X4.11.20",564,193,21349,210,2007,5803,19,123,3349,694,61,4110,17079,19939,10212,1323,474,610,176,288,19503,99,211,106
"X4.12.20",605,198,23006,254,2168,6035,19,132,3349,797,64,4479,17716,20855,10963,1364,524,652,193,331,19934,108,214,130
"X4.13.20",641,208,24603,261,2342,6275,21,139,3351,845,66,4701,18294,21821,11712,1405,554,682,214,358,20500,123,217,148
"X4.14.20",668,221,27062,268,2613,6506,23,149,3351,932,71,4853,18626,22959,12535,1543,604,732,236,393,21103,143,222,170
"X4.15.20",685,241,29737,285,2877,6737,25,168,3352,959,72,5437,19310,24878,13338,1742,653,765,260,405,21681,146,225,198
"X4.16.20",715,266,34622,300,3138,6981,26,195,3352,1003,72,5744,19947,26230,14245,1889,694,803,283,448,22208,178,229,232
"X4.17.20",745,288,38613,318,3435,7217,26,217,4642,1056,77,6111,20662,27447,15137,1988,736,844,299,486,22784,190,230,273
"X4.18.20",769,306,40609,342,3754,7437,27,234,4642,1084,78,6271,20733,28521,16069,2120,781,867,311,521,23266,222,232,313
"X4.19.20",798,341,42874,354,3975,7675,27,266,4642,1144,79,6432,21170,29236,16705,2163,821,917,335,559,23699,236,234,361
